PostID,caption,commentsCount,likesCount,mentions0,mentions1,mentions2,mentions3,mentions4,mentions5,mentions6,timestamp,type,videoDuration,videoPlayCount,videoViewCount,engagement_rate,day_of_week,hour_of_day,time_of_day,engagement_type
210,rhode bath bomb,2597,784602,,,,,,,,2024-01-20 18:02:40+00:00,Video,35.2,14427561.0,6642301.0,787199,Saturday,18,Afternoon,High
185,1 800 rhode meet lip case compatible iphone favorite peptide lip tint treatment lip tints finally coming back 4 sheer buildable shades melt onto lips rich glossy finish launching together february 27th 9am pt join waitlist rhodeskincom,5849,465984,,,,,,,,2024-02-13 17:13:07+00:00,Sidecar,,,,471833,Tuesday,17,Afternoon,High
42,hot pink summer hb matching summer lip case peptide lip tint shade shortcake arriving june 20th 9am pt ,1542,313727,,,,,,,,2024-06-18 22:43:23+00:00,Sidecar,,,,315269,Tuesday,22,Evening,High
92,hb hydration routine 31000 feet peptide glazing fluid draw water face oil lasting moisture sheet mask seal swipe peptide lip treatment,960,291110,,,,,,,,2024-05-31 16:02:46+00:00,Video,50.666,5407117.0,1914098.0,292070,Friday,16,Afternoon,High
60,itty bitty bits may ps working hard new things coming soon,1789,257316,,,,,,,,2024-06-04 16:23:27+00:00,Sidecar,,,,259105,Tuesday,16,Afternoon,High
181,text treat tint peptide lip tints coming back plus something cute hold,866,247961,,,,,,,,2024-02-13 16:00:47+00:00,Image,,,,248827,Tuesday,16,Afternoon,High
154,hb five minute morning routine ft glazing milk peptide lip tint shade toast something special,880,232260,,,,,,,,2024-03-11 16:29:54+00:00,Video,43.033,5252718.0,2322619.0,233140,Monday,16,Afternoon,High
85,generations rhode one biggest inspirations rhode hailey mom nana taught skincare early age diligent routines love head toe hydration helped shape approach creating efficacious nourishing essentials make step routine favorite tips passed years hydrate hydrate hydrate wear spf every day truly non negotiable forget moisturize body slather lotion head toe always wash makeup bedâ€”no matter !,1040,218989,,,,,,,,2024-05-12 16:40:21+00:00,Image,,,,220029,Sunday,16,Afternoon,High
125,rhode booth take pics get lip tint headed desert weekend coming new stops soon,784,216350,,,,,,,,2024-04-13 17:30:21+00:00,Video,20.8,5418538.0,1380279.0,217134,Saturday,17,Afternoon,High
167,juicy red peptide lip tint shade raspberry jelly sheer buildable color melts onto lips crushed berry finish back stock february 27th rhodeskincom,565,194101,,,,,,,,2024-02-15 17:05:57+00:00,Sidecar,,,,194666,Thursday,17,Afternoon,High
